0,0,0.286275,0.921569,0.780392, 
0,1,0.0392157,0.423529,0.905882,
0,2,0.827451,0.933333,0.243137,
0,3,0.109804,0.741176,0.360784,
0,4,0.0352941,0.901961,0.0313726,
1,0,0.541176,0.137255,0.658824,
1,1,0.588235,0.0117647,0.541176,
1,2,0.384314,0.847059,0.0431373,
1,3,0.0784314,0.639216,0.262745,
1,4,0.835294,0.960784,0.333333,
2,0,0.501961,0.247059,0.752941,
2,1,0.780392,0.788235,0.678431,
2,2,0.686275,0.113725,0.611765,
2,3,0.431373,0.223529,0.352941,
2,4,0.792157,0.258824,0.254902,
3,0,0.823529,0.301961,0.392157,
3,1,0.980392,0.388235,0.905882,
3,2,0.521569,0.776471,0.25098,
3,3,0.564706,0.352941,0.890196,
3,4,0.831373,0.192157,0.352941,
4,0,0.662745,0.192157,0.6,
4,1,0.913725,0.976471,0.886275,
4,2,0.592157,0.160784,0.00392157,
4,3,0.701961,0.0901961,0.72549,
4,4,0.054902,0.886275,0.486275,
